HERSTELLER	TYP	SCHALTUNGSKONZEPT	VERWENDUNGSART	MAX. GEN.LEIST. WSTC (W)	AC-NENNLEIST. PAC (W)	EURO-ETA (%)
SMA Solar Technology AG	SB 1200	NF-Trafo	Netzeinspeisung	1320	1200	90.90	
SMA Solar Technology AG	SB 1700	NF-Trafo	Netzeinspeisung	1850	1550	91.80	
SMA Solar Technology AG	SB 2500	NF-Trafo	Netzeinspeisung	2700	2300	93.20	
SMA Solar Technology AG	SB 3000	NF-Trafo	Netzeinspeisung	3200	2750	93.20	
SMA Solar Technology AG	SB 3300	NF-Trafo	Netzeinspeisung	3820	3300	94.40	
SMA Solar Technology AG	SB 3800	NF-Trafo	Netzeinspeisung	4040	3800	94.70	
SMA Solar Technology AG	SMC 4600A	NF-Trafo	Netzeinspeisung	5250	4600	95.30	
SMA Solar Technology AG	SMC 5000A	NF-Trafo	Netzeinspeisung	5750	5000	95.30	
SMA Solar Technology AG	SMC 6000A	NF-Trafo	Netzeinspeisung	6300	6000	95.30	
SMA Solar Technology AG	SMC 6000TL	trafolos (einstufig)	Netzeinspeisung	6200	6000	97.70	
SMA Solar Technology AG	SMC 7000TL	trafolos (einstufig)	Netzeinspeisung	7200	7000	97.70	
SMA Solar Technology AG	SMC 8000TL	trafolos (einstufig)	Netzeinspeisung	8250	8000	97.70	
SMA Solar Technology AG	SMC 9000TL	trafolos (einstufig)	Netzeinspeisung	9300	9000	97.60	
SMA Solar Technology AG	SMC 10000TL	trafolos (einstufig)	Netzeinspeisung	10350	10000	97.50	
SMA Solar Technology AG	SMC 11000TL	trafolos (einstufig)	Netzeinspeisung	10350	11000	97.50	
SMA Solar Technology AG	SMC 9000TLRP	trafolos (einstufig)	Netzeinspeisung	9300	9000	97.30	
SMA Solar Technology AG	SMC 10000TLRP	trafolos (einstufig)	Netzeinspeisung	10350	10000	97.20	
SMA Solar Technology AG	SMC 11000TLRP	trafolos (einstufig)	Netzeinspeisung	11400	11000	97.20	
SMA Solar Technology AG	SB 3000TL	trafolos (einstufig)	Netzeinspeisung	3200	3000	96.30	
SMA Solar Technology AG	SB 4000TL	trafolos (zweistufig)	Netzeinspeisung	4200	4000	96.40	
SMA Solar Technology AG	SB 5000TL	trafolos (zweistufig)	Netzeinspeisung	5300	4600	96.50	
SMA Solar Technology AG	SB 4000TL/V	trafolos (zweistufig)	Netzeinspeisung	4200	3680	96.40	
SMA Solar Technology AG	STP 10000TL	trafolos (einstufig)	Netzeinspeisung	10200	10000	97.70	
SMA Solar Technology AG	STP 12000TL	trafolos (einstufig)	Netzeinspeisung	12250	12000	97.70	
SMA Solar Technology AG	STP 15000TL	trafolos (einstufig)	Netzeinspeisung	15340	15000	97.70	
SMA Solar Technology AG	STP 17000TL	trafolos (einstufig)	Netzeinspeisung	17410	17000	97.70	
SMA Solar Technology AG	SB 2000HF	HF-Trafo	Netzeinspeisung	2100	2000	95.00	
SMA Solar Technology AG	SB 2500HF	HF-Trafo	Netzeinspeisung	2600	2500	95.40	
SMA Solar Technology AG	SB 3000HF	HF-Trafo	Netzeinspeisung	3150	3000	95.50	
SMA Solar Technology AG	SB 2100TL	trafolos (einstufig)	Netzeinspeisung	2200	1950	95.20	
SMA Solar Technology AG	SMC 7000HV	NF-Trafo	Netzeinspeisung	7500	6650	95.50	
SMA Solar Technology AG	SB 700U (150V)	NF-Trafo	Netzeinspeisung	575	460	0.00	
SMA Solar Technology AG	SB 700U (200V)	NF-Trafo	Netzeinspeisung	750	600	0.00	
SMA Solar Technology AG	SB 700U (250V)	NF-Trafo	Netzeinspeisung	875	700	0.00	
SMA Solar Technology AG	SB 3000-US (208V)	NF-Trafo	Netzeinspeisung	3750	3000	0.00	
SMA Solar Technology AG	SB 3000-US (240V)	NF-Trafo	Netzeinspeisung	3750	3000	0.00	
SMA Solar Technology AG	SB 4000-US (208V)	NF-Trafo	Netzeinspeisung	4375	3500	0.00	
SMA Solar Technology AG	SB 4000-US (240V)	NF-Trafo	Netzeinspeisung	5000	4000	0.00	
SMA Solar Technology AG	SB 5000-US (208V)	NF-Trafo	Netzeinspeisung	6250	5000	0.00	
SMA Solar Technology AG	SB 5000-US (240V)	NF-Trafo	Netzeinspeisung	6250	5000	0.00	
SMA Solar Technology AG	SB 5000-US (277V)	NF-Trafo	Netzeinspeisung	6250	5000	0.00	
SMA Solar Technology AG	SB 6000-US (208V)	NF-Trafo	Netzeinspeisung	7500	6000	0.00	
