MODUL-HERSTELLER	MODUL-TYP	NENNLEISTUNG [W]	MODULWIRKUNGSGRAD [%]	SPANNUNG IM MPP [V]	STROM IM MPP [A]	VERSION
SunPower	SPR-220-WHT	220.00	17.68	39.80	5.53	6/2006
SunPower	SPR-200-BLK	200.00	16.08	40.00	5.00	12/2004
SunPower	SPR-205-BLK	205.00	16.48	40.00	5.13	9/2007
SunPower	SPR-210-WHT	210.00	16.88	40.00	5.25	9/2007
SunPower	SPR-215-WHT	215.00	17.28	39.80	5.40	9/2007
SunPower	SPR-215-BLK	215.00	17.28	40.00	5.40	2/2006
SunPower	SPR-230-WHT	230.00	18.49	41.00	5.61	10/2007
SunPower	SPR-305-WHT	305.00	18.70	54.70	5.58	10/2007
SunPower	SPR-315E-WHT-D	315.00	19.32	54.70	5.76	6/2007
SunPower	SPR-210	210.00	16.88	40.00	5.25	12/2006
SunPower	SPR-220-BLK	220.00	17.68	41.00	5.37	6/2007
SunPower	SPR-90	90.00	16.45	17.70	5.10	12/2004
SunPower	SPR-210-BLK	210.00	16.88	40.00	5.25	10/2007
SunPower	SPR-225-WHT-I	225.00	18.09	41.00	5.49	6/2007
SunPower	SPR-225-BLK	225.00	18.09	41.00	5.49	1/2008
SunPower	SPR-300-WHT-I	300.00	18.40	54.70	5.49	4/2008
SunPower	SPR-220-BLK-I	220.00	17.68	41.00	5.37	4/2008
SunPower	SPR-210-BLK-U	210.00	16.88	40.00	5.25	3/2009
SunPower	SPR-210-WHT-I	210.00	16.88	40.00	5.25	3/2009
SunPower	SPR-215-WHT-U	215.00	17.28	39.80	5.40	3/2009
SunPower	SPR-220-BLK-I	220.00	17.68	41.00	5.37	3/2009
SunPower	SPR-225-BLK-U	225.00	18.09	41.00	5.49	3/2009
SunPower	SPR-225-WHT-I	225.00	18.09	41.00	5.49	3/2009
SunPower	SPR-230-WHT-U	230.00	18.49	41.00	5.61	3/2009
SunPower	SPR-300-WHT-I	300.00	18.40	54.70	5.49	3/2009
SunPower	SPR-315E-WHT-D	315.00	19.32	54.70	5.76	5/2009
SunPower	E14 SER-220P	220.00	13.55	29.40	7.48	3/2010
SunPower	E14 SER-228P	228.00	14.05	29.60	7.70	3/2010
SunPower	E19 SPR-318E-WHT-D	318.00	19.50	54.70	5.82	2/2010
SunPower	E19 SPR-238E-WHT-D	238.00	19.13	40.50	5.88	2/2010
SunPower	E18 SPR-305E-WHT-D	305.00	18.70	54.70	5.58	2/2010
SunPower	E18 SPR-230E-WHT-D	230.00	18.49	40.50	5.68	2/2010
SunPower	E18 SPR-225E-BLK-D	225.00	18.09	40.50	5.55	2/2010
SunPower	E19 SPR-315E-WHT-D	315.00	19.32	54.70	5.76	2/2010
SunPower	E18 SPR-230E-WHT-U	230.00	18.49	41.00	5.61	3/2010
SunPower	E18 SPR-400-WHT-D	400.00	18.50	72.90	5.49	3/2010
SunPower	E19 SPR-240E-WHT-D	240.00	19.29	40.50	5.93	3/2011
SunPower	E19 SPR-320E-WHT-D	320.00	19.62	54.70	5.86	9/2010
SunPower	E20 SPR-327NE-WHT-D	327.00	20.05	54.70	5.98	6/2011
SunPower	E20 SPR-333NE-WHT-D	333.00	20.42	54.70	6.09	6/2011
SunPower	E19 SPR-240NE-WHT-D	240.00	19.29	40.50	5.93	7/2011
SunPower	E19 SPR-245NE-WHT-D	245.00	19.69	40.50	6.05	7/2011
SunPower	E19 SPR-425E-WHT-D	425.00	19.66	72.90	5.83	4/2010
SunPower	E18 SPR-225NE-BLK-D	225.00	18.09	40.50	5.55	6/2011
SunPower	E18 SPR-230NE-BLK-D	230.00	18.49	40.50	5.68	6/2011
SunPower	E20 SPR-327NE-WHT-D	327.00	20.05	54.70	5.98	1/2012
SunPower	E20 SPR-333NE-WHT-D	333.00	20.42	54.70	6.09	1/2012
SunPower	E18 SPR-225E-BLK-U ACPV	225.00	18.09	40.50	5.55	10/2011
SunPower	E14 SER-235P	235.00	14.30	29.70	7.91	10/2010
SunPower	E13 SER-220P	220.00	13.39	29.40	7.48	4/2010
SunPower	E13 SER-228P	228.00	13.87	29.60	7.70	5/2010
SunPower	E19 SPR-240E-WHT-U ACPV	240.00	19.29	40.50	5.93	10/2011
SunPower	SPR-280/B-WHT-I	280.00	17.17	52.40	5.35	9/2009
SunPower	E18 SPR-308E-WHT-D	308.00	18.89	54.70	5.64	11/2010
SunPower	E18 SPR-300NE-BLK-D	300.00	18.40	54.70	5.49	1/2011
SunPower	E18 SPR-225NE-BLK-D	225.00	18.09	40.50	5.55	1/2012
SunPower	E18 SPR-230NE-BLK-D	230.00	18.49	40.50	5.68	1/2012
SunPower	SPR-210N-WHT-I	210.00	16.88	40.00	5.25	8/2009
SunPower	E19 SPR-320NE-WHT-D	320.00	19.62	54.70	5.86	1/2012
SunPower	E19 SPR-240NE-WHT-D	240.00	19.29	40.50	5.93	1/2012
SunPower	E19 SPR-245NE-WHT-D	245.00	19.69	40.50	6.05	1/2012
SunPower	E18 SPR-300NE-BLK-D	300.00	18.40	54.70	5.49	1/2012
SunPower	E20 SPR-327NE-WHT-D (US)	327.00	20.05	54.70	5.98	6/2011
SunPower	E19 SPR-320E-WHT-D	320.00	19.62	54.70	5.86	12/2010
SunPower	E18 SPR-225E-BLK-D (US)	225.00	18.09	40.50	5.55	2/2010
SunPower	E20 SPR-435NE-WHT-D	435.00	20.12	72.90	5.97	9/2012
SunPower	E18 SPR-305NE-BLK-D	305.00	18.70	54.70	5.58	11/2012
SunPower	E18 SPR-230NE-BLK-D (US)	230.00	18.49	40.50	5.68	9/2012
SunPower	E19 SPR-240NE-WHT-D	240.00	19.29	40.50	5.93	8/2012
SunPower	E19 SPR-245NE-WHT-D	245.00	19.69	40.50	6.05	8/2012
SunPower	E19 SPR-245NE-WHT-D (US)	245.00	19.69	40.50	6.05	8/2012
SunPower	SPR-315NE-WHT-D T5	315.00	15.09	54.70	5.76	9/2012
SunPower	SPR-327NE-WHT-D T5	327.00	15.67	54.70	5.98	9/2012
SunPower	E19 SPR-320E-WHT-D	320.00	19.62	54.70	5.86	8/2012
SunPower	E20 SPR-327NE-WHT-D	327.00	20.05	54.70	5.98	8/2012
SunPower	E20 SPR-333NE-WHT-D	333.00	20.42	54.70	6.09	8/2012
SunPower	IN-Roof SL BIPV-230	230.00	17.42	40.50	5.68	11/2011
SunPower	IN-Roof SL BIPV-245	245.00	18.56	40.50	6.05	11/2011
SunPower	X21 SPR-343J-WHT-D	343.00	21.03	57.30	5.99	10/2012
SunPower	E19-320 (US)	320.00	19.62	54.70	5.86	3/2013
SunPower	E20-327 (US)	327.00	20.05	54.70	5.98	3/2013
SunPower	X21-335-BLK	335.00	20.54	57.30	5.85	3/2013
SunPower	X21-345	345.00	21.16	57.30	6.02	3/2013
SunPower	X21-335-BLK	335.00	20.54	57.30	5.85	4/2013
SunPower	X21-345	345.00	21.16	57.30	6.02	4/2013
SunPower	E19-320	320.00	19.62	54.70	5.86	4/2013
SunPower	E20-327	327.00	20.05	54.70	5.98	4/2013
SunPower	E19-235	235.00	18.89	40.50	5.80	4/2013
SunPower	E20-245	245.00	19.69	40.50	6.05	4/2013
SunPower	X20-250-BLK	250.00	20.10	42.80	5.84	4/2013
SunPower	X21-255	255.00	20.50	42.80	5.95	5/2013
SunPower	X19-240-BLK	240.00	19.29	42.80	5.61	5/2013
SunPower	X20-245	245.00	19.69	42.80	5.72	5/2013
SunPower	X20-327-COM	327.00	20.05	57.30	5.71	5/2013
SunPower	X21-345-COM	345.00	21.16	57.30	6.02	5/2013
SunPower	X20-327-BLK (US)	327.00	20.05	57.30	5.71	5/2013
