Aug		
Uhrzeit	Azimut	Altitude
06:30	69.28	0.0
06:45	72.03	2.53
07:00	74.75	4.95
07:15	77.45	7.41
07:30	80.14	9.89
07:45	82.84	12.40
08:00	85.54	14.92
08:15	88.27	17.45
08:30	91.03	19.98
08:45	93.84	22.51
09:00	96.71	25.03
09:15	99.65	27.54
09:30	102.69	30.02
09:45	105.84	32.48
10:00	109.11	34.89
10:15	112.53	37.26
10:30	116.13	39.57
10:45	119.92	41.8
11:00	123.93	43.95
11:15	128.19	46
11:30	132.72	47.92
11:45	137.54	49.71
12:00	142.67	51.33
12:15	148.11	52.77
12:30	153.86	54
12:45	159.9	54.99
13:00	166.17	55.73
13:15	172.63	56.19
13:30	179.18	56.37
13:45	185.75	56.26
14:00	192.23	55.86
14:15	198.55	55.18
14:30	204.65	54.24
14:45	210.47	53.07
15:00	215.98	51.68
15:15	221.18	50.09
15:30	226.07	48.34
15:45	230.66	46.44
16:00	234.98	44.42
16:15	239.04	42.29
16:30	242.88	40.07
16:45	246.52	37.78
17:00	249.98	35.42
17:15	253.28	33.01
17:30	256.46	30.56
17:45	259.51	28.08
18:00	262.48	25.57
18:15	265.36	23.05
18:30	268.18	20.52
18:45	270.95	17.98
19:00	273.68	15.44
19:15	276.39	12.92
19:30	279.08	10.40
19:45	281.77	7.91
20:00	284.46	5.44
20:15	287.17	3.00
20:30	289.91	0.59
20:45	292.68	1.78
21:00	292.68	0.0
