Feb		
Uhrzeit	Azimut	Altitude
07:15	107.51	0
07:30	107.51	1.50
07:45	110.27	0.90
08:00	113.07	3.26
08:15	115.91	5.57
08:30	118.81	7.83
08:45	121.77	10.02
09:00	124.81	12.14
09:15	127.92	14.18
09:30	131.12	16.14
09:45	134.41	18.01
10:00	137.8	19.77
10:15	141.28	21.41
10:30	144.87	22.94
10:45	148.56	24.33
11:00	152.35	25.59
11:15	156.24	26.69
11:30	160.21	27.64
11:45	164.25	28.41
12:00	168.37	29.02
12:15	172.53	29.44
12:30	176.73	29.68
12:45	180.94	29.74
13:00	185.14	29.61
13:15	189.33	29.29
13:30	193.47	28.79
13:45	197.56	28.12
14:00	201.58	27.27
14:15	205.52	26.26
14:30	209.36	25.1
14:45	213.11	23.79
15:00	216.76	22.34
15:15	220.31	20.76
15:30	223.76	19.07
15:45	227.11	17.26
16:00	230.37	15.36
16:15	233.53	13.37
16:30	236.62	11.29
16:45	239.62	9.14
17:00	242.56	6.93
17:15	242.56	0.0
