Jul		
Uhrzeit	Azimut	Altitude
05:45	56.19	0.0
06:00	58.97	0.73
06:15	61.69	2.93
06:30	64.37	5.19
06:45	67.02	7.50
07:00	69.65	9.85
07:15	72.25	12.25
07:30	74.84	14.68
07:45	77.44	17.14
08:00	80.04	19.62
08:15	82.66	22.12
08:30	85.31	24.64
08:45	88	27.17
09:00	90.75	29.7
09:15	93.57	32.24
09:30	96.49	34.76
09:45	99.51	37.27
10:00	102.66	39.75
10:15	105.97	42.21
10:30	109.47	44.62
10:45	113.18	46.98
11:00	117.15	49.27
11:15	121.41	51.48
11:30	126.01	53.59
11:45	131	55.57
12:00	136.41	57.4
12:15	142.28	59.05
12:30	148.63	60.49
12:45	155.45	61.68
13:00	162.69	62.58
13:15	170.27	63.17
13:30	178.05	63.43
13:45	185.87	63.34
14:00	193.56	62.91
14:15	200.99	62.15
14:30	208.02	61.1
14:45	214.6	59.78
15:00	220.71	58.23
15:15	226.34	56.48
15:30	231.52	54.57
15:45	236.31	52.52
16:00	240.73	50.36
16:15	244.84	48.1
16:30	248.67	45.77
16:45	252.27	43.38
17:00	255.66	40.94
17:15	258.89	38.47
17:30	261.97	35.97
17:45	264.93	33.45
18:00	267.80	30.92
18:15	270.58	28.38
18:30	273.30	25.85
18:45	275.97	23.32
19:00	278.60	20.81
19:15	281.21	18.31
19:30	283.80	15.83
19:45	286.39	13.39
20:00	288.99	10.97
20:15	291.60	8.59
20:30	294.23	6.26
20:45	296.90	3.97
21:00	299.60	1.73
21:15	302.35	0.0
