März
Uhrzeit	Azimut	Altitude
06:45	93.13	0.0
07:00	95.90	2.20
07:15	98.68	4.72
07:30	101.49	7.22
07:45	104.33	9.69
08:00	107.23	12.13
08:15	110.18	14.54
08:30	113.21	16.9
08:45	116.31	19.2
09:00	119.52	21.45
09:15	122.82	23.62
09:30	126.24	25.71
09:45	129.79	27.71
10:00	133.48	29.61
10:15	137.3	31.39
10:30	141.27	33.05
10:45	145.4	34.57
11:00	149.67	35.93
11:15	154.09	37.13
11:30	158.65	38.15
11:45	163.32	38.98
12:00	168.1	39.61
12:15	172.95	40.03
12:30	177.84	40.24
12:45	182.75	40.23
13:00	187.65	40.01
13:15	192.49	39.57
13:30	197.26	38.92
13:45	201.92	38.08
14:00	206.47	37.04
14:15	210.88	35.83
14:30	215.14	34.45
14:45	219.25	32.92
15:00	223.21	31.25
15:15	227.03	29.46
15:30	230.7	27.55
15:45	234.24	25.55
16:00	237.66	23.45
16:15	240.96	21.27
16:30	244.15	19.03
16:45	247.25	16.72
17:00	250.28	14.36
17:15	253.23	11.96
17:30	256.12	9.51
17:45	258.97	7.04
18:00	261.78	4.55
18:15	264.57	2.03
18:30	267.34	0.0

