Mai		
Uhrzeit	Azimut	Altitude
05:45	59.12	0.0
06:00	61.89	0.80
06:15	64.61	3.06
06:30	67.30	5.38
06:45	69.95	7.74
07:00	72.59	10.15
07:15	75.21	12.58
07:30	77.83	15.05
07:45	80.45	17.54
08:00	83.09	20.05
08:15	85.75	22.57
08:30	88.46	25.11
08:45	91.22	27.64
09:00	94.04	30.18
09:15	96.96	32.7
09:30	99.97	35.21
09:45	103.1	37.69
10:00	106.39	40.15
10:15	109.84	42.56
10:30	113.5	44.91
10:45	117.39	47.21
11:00	121.55	49.41
11:15	126.03	51.52
11:30	130.84	53.51
11:45	136.04	55.35
12:00	141.65	57.02
12:15	147.69	58.49
12:30	154.16	59.73
12:45	161.02	60.7
13:00	168.2	61.37
13:15	175.59	61.73
13:30	183.08	61.76
13:45	190.5	61.47
14:00	197.73	60.85
14:15	204.66	59.93
14:30	211.2	58.75
14:45	217.32	57.32
15:00	223.02	55.69
15:15	228.29	53.88
15:30	233.18	51.92
15:45	237.71	49.83
16:00	241.93	47.64
16:15	245.87	45.37
16:30	249.58	43.02
16:45	253.07	40.63
17:00	256.38	38.18
17:15	259.55	35.71
17:30	262.58	33.20
17:45	265.51	30.68
18:00	268.35	28.15
18:15	271.13	25.62
18:30	273.84	23.09
18:45	276.52	20.57
19:00	279.16	18.06
19:15	281.79	15.57
19:30	284.41	13.10
19:45	287.03	10.66
20:00	289.66	8.26
20:15	292.31	5.90
20:30	294.99	3.58
20:45	297.71	1.31
21:00	300.47	0.0
