Okt		
Uhrzeit	Azimut	Altitude
08:00	105.03	0.0
08:15	107.82	3.34
08:30	110.66	5.73
08:45	113.54	8.07
09:00	116.48	10.37
09:15	119.49	12.6
09:30	122.57	14.77
09:45	125.74	16.87
10:00	129.01	18.88
10:15	132.37	20.8
10:30	135.84	22.61
10:45	139.42	24.32
11:00	143.11	25.9
11:15	146.92	27.35
11:30	150.84	28.66
11:45	154.87	29.81
12:00	159	30.8
12:15	163.21	31.62
12:30	167.51	32.25
12:45	171.86	32.71
13:00	176.25	32.96
13:15	180.66	33.03
13:30	185.07	32.9
13:45	189.45	32.57
14:00	193.79	32.06
14:15	198.06	31.36
14:30	202.24	30.48
14:45	206.34	29.44
15:00	210.33	28.23
15:15	214.21	26.87
15:30	217.98	25.37
15:45	221.63	23.75
16:00	225.17	22
16:15	228.6	20.15
16:30	231.93	18.2
16:45	235.16	16.15
17:00	238.29	14.03
17:15	241.35	11.84
17:30	244.33	9.58
17:45	247.25	7.26
18:00	250.11	4.90
18:15	252.92	2.49
18:30	255.70	0.00
