Sep		
Uhrzeit	Azimut	Altitude
07:15	87.96	0.00
07:30	90.73	2.46
07:45	93.51	4.99
08:00	96.3	7.51
08:15	99.12	10.02
08:30	101.98	12.51
08:45	104.89	14.97
09:00	107.86	17.4
09:15	110.91	19.79
09:30	114.05	22.13
09:45	117.29	24.41
10:00	120.65	26.63
10:15	124.13	28.77
10:30	127.75	30.82
10:45	131.52	32.76
11:00	135.45	34.6
11:15	139.54	36.31
11:30	143.81	37.88
11:45	148.26	39.29
12:00	152.87	40.53
12:15	157.65	41.59
12:30	162.56	42.45
12:45	167.59	43.1
13:00	172.71	43.53
13:15	177.89	43.73
13:30	183.08	43.71
13:45	188.24	43.45
14:00	193.35	42.97
14:15	198.36	42.28
14:30	203.24	41.37
14:45	207.98	40.27
15:00	212.56	38.99
15:15	216.96	37.54
15:30	221.19	35.94
15:45	225.25	34.2
16:00	229.15	32.34
16:15	232.88	30.36
16:30	236.47	28.29
16:45	239.92	26.13
17:00	243.24	23.9
17:15	246.45	21.60
17:30	249.57	19.25
17:45	252.60	16.85
18:00	255.56	14.41
18:15	258.45	11.93
18:30	261.30	9.43
18:45	264.11	6.92
19:00	266.89	4.39
19:15	269.65	1.85
19:30	272.42	0.0
