April		
Uhrzeit	Azimut	Altitude
06:30	72.17	0
06:45	74.94	1.14
07:00	77.67	3.61
07:15	80.40	6.10
07:30	83.11	8.61
07:45	85.83	11.14
08:00	88.57	13.67
08:15	91.33	16.21
08:30	94.13	18.74
08:45	96.98	21.27
09:00	99.89	23.78
09:15	102.89	26.27
09:30	105.98	28.72
09:45	109.18	31.14
10:00	112.52	33.51
10:15	116.0	35.83
10:30	119.65	38.07
10:45	123.49	40.24
11:00	127.55	42.3
11:15	131.83	44.26
11:30	136.37	46.08
11:45	141.17	47.75
12:00	146.24	49.26
12:15	151.59	50.57
12:30	157.18	51.67
12:45	163.01	52.54
13:00	169.02	53.15
13:15	175.16	53.51
13:30	181.35	53.59
13:45	187.53	53.39
14:00	193.63	52.93
14:15	199.57	52.21
14:30	205.3	51.25
14:45	210.8	50.06
15:00	216.03	48.67
15:15	220.99	47.09
15:30	225.68	45.35
15:45	230.12	43.47
16:00	234.31	41.47
16:15	238.27	39.37
16:30	242.03	37.17
16:45	245.62	34.9
17:00	249.03	32.56
17:15	252.31	30.17
17:30	255.47	27.74
17:45	258.52	25.27
18:00	261.49	22.78
18:15	264.38	20.27
18:30	267.21	17.74
18:45	269.99	15.21
19:00	272.74	12.68
19:15	275.47	10.15
19:30	278.19	7.64
19:45	280.91	5.14
20:00	283.64	2.67
20:15	286.39	0.0
