Dez		
Uhrzeit	Azimut	Altitude
07:30	128.36	0
07:45	128.36	0
08:00	128.36	0
08:15	128.36	0
08:30	128.36	1.68
08:45	131.2	3.63
09:00	134.1	5.49
09:15	137.06	7.27
09:30	140.1	8.94
09:45	143.2	10.51
10:00	146.38	11.98
10:15	149.62	13.32
10:30	152.94	14.54
10:45	156.32	15.62
11:00	159.76	16.57
11:15	163.25	17.37
11:30	166.8	18.03
11:45	170.38	18.53
12:00	173.99	18.87
12:15	177.63	19.06
12:30	181.26	19.08
12:45	184.9	18.95
13:00	188.52	18.65
13:15	192.11	18.2
13:30	195.67	17.59
13:45	199.18	16.83
14:00	202.64	15.92
14:15	206.04	14.88
14:30	209.37	13.7
14:45	212.64	12.4
15:00	215.84	10.97
15:15	218.96	9.43
15:30	222.02	7.78
15:45	225	6.04
16:00	227.92	4.2
16:15	230.78	2.28
16:30	230.78	0
16:45	238.98	0.0
