Jan		
Uhrzeit	Azimut	Altitude
08:15	121.49	0.00
08:30	124.28	2.16
08:45	127.12	4.22
09:00	130.03	6.21
09:15	133	8.11
09:30	136.05	9.91
09:45	139.17	11.62
10:00	142.36	13.23
10:15	145.63	14.72
10:30	148.98	16.09
10:45	152.41	17.33
11:00	155.91	18.44
11:15	159.48	19.40
11:30	163.1	20.22
11:45	166.78	20.88
12:00	170.51	21.38
12:15	174.26	21.72
12:30	178.04	21.89
12:45	181.82	21.90
13:00	185.6	21.73
13:15	189.35	21.41
13:30	193.08	20.92
13:45	196.76	20.27
14:00	200.4	19.46
14:15	203.97	18.51
14:30	207.47	17.41
14:45	210.9	16.17
15:00	214.26	14.81
15:15	217.54	13.33
15:30	220.74	11.73
15:45	223.86	10.03
16:00	226.91	8.22
16:15	229.89	6.33
16:30	232.81	4.35
16:45	235.66	2.30
17:00	238.45	0.00
17:15	238.45	0.00
17:30	238.45	0.00
17:45	238.45	0.00
18:00	238.45	0.00
18:15	238.45	0.00
18:30	238.45	0.00
18:45	238.45	0.00
19:00	238.45	0.00
19:15	238.45	0.00
19:30	238.45	0.00
19:45	238.45	0.00
20:00	238.45	0.00
20:15	238.45	0.00
20:30	238.45	0.00
20:45	238.45	0.00
21:00	238.45	0.00
21:15	238.45	0.00
21:30	238.45	0.00
21:45	238.45	0.00
22:00	238.45	0.00
