Jun		
Uhrzeit	Altitude	Azimut
05:30	53.20	0.0
05:45	55.96	1.27
06:00	58.67	3.40
06:15	61.33	5.59
06:30	63.95	7.85
06:45	66.55	10.15
07:00	69.12	12.49
07:15	71.68	14.88
07:30	74.23	17.31
07:45	76.78	19.76
08:00	79.34	22.24
08:15	81.92	24.74
08:30	84.54	27.26
08:45	87.2	29.78
09:00	89.93	32.32
09:15	92.73	34.85
09:30	95.63	37.38
09:45	98.64	39.9
10:00	101.8	42.39
10:15	105.13	44.85
10:30	108.65	47.28
10:45	112.42	49.65
11:00	116.47	51.96
11:15	120.85	54.19
11:30	125.62	56.31
11:45	130.82	58.3
12:00	136.52	60.13
12:15	142.76	61.77
12:30	149.57	63.19
12:45	156.92	64.33
13:00	164.77	65.16
13:15	172.96	65.65
13:30	181.34	65.78
13:45	189.68	65.54
14:00	197.79	64.93
14:15	205.48	64
14:30	212.67	62.77
14:45	219.3	61.28
15:00	225.36	59.57
15:15	230.9	57.68
15:30	235.96	55.65
15:45	240.6	53.49
16:00	244.87	51.24
16:15	248.82	48.91
16:30	252.51	46.52
16:45	255.97	44.08
17:00	259.24	41.61
17:15	262.35	39.10
17:30	265.32	36.59
17:45	268.19	34.06
18:00	270.96	31.52
18:15	273.67	28.99
18:30	276.32	26.47
18:45	278.92	23.96
19:00	281.50	21.46
19:15	284.06	18.99
19:30	286.61	16.55
19:45	289.16	14.14
20:00	291.72	11.76
20:15	294.30	9.43
20:30	296.90	7.14
20:45	299.54	4.91
21:00	302.21	2.74
21:15	304.94	0.63
21:30	307.71	0.0
