Nov		
Uhrzeit	Azimut	Altitude
07:30	116.52	0.00
07:45	119.29	1.22
08:00	122.11	3.4
08:15	124.98	5.51
08:30	127.92	7.55
08:45	130.93	9.5
09:00	134.01	11.37
09:15	137.16	13.14
09:30	140.4	14.81
09:45	143.73	16.36
10:00	147.13	17.8
10:15	150.62	19.11
10:30	154.19	20.28
10:45	157.83	21.31
11:00	161.55	22.18
11:15	165.32	22.9
11:30	169.14	23.46
11:45	173.0	23.85
12:00	176.89	24.07
12:15	180.79	24.12
12:30	184.68	24
12:45	188.56	23.7
13:00	192.4	23.24
13:15	196.2	22.61
13:30	199.95	21.82
13:45	203.63	20.88
14:00	207.25	19.79
14:15	210.78	18.55
14:30	214.23	17.19
14:45	217.6	15.7
15:00	220.88	14.09
15:15	224.09	12.38
15:30	227.21	10.57
15:45	230.25	8.66
16:00	233.23	6.67
16:15	236.13	4.6
16:30	238.98	2.46
16:45	238.98	0.0

